Question,Answer
do you like it?,"oh, yes, i really like it."
"oh, yes, i really like it.",why do you like it?
why do you like it?,because it has great teachers.
because it has great teachers.,what else?
what else?,"i like all my classmates, too."
"i like all my classmates, too.",anything else?
anything else?,yes. it's not expensive!
i lost my new pen.,where did you lose it?
where did you lose it?,i don't know.
i don't know.,when did you lose it?
when did you lose it?,i think i lost it today. i used it yesterday.
i think i lost it today. i used it yesterday.,did you check all your pockets?
did you check all your pockets?,i checked all my pockets.
i checked all my pockets.,did you look in your desk?
did you look in your desk?,"yes. it isn't there, either."
"yes. it isn't there, either.",it's probably around somewhere.
it's probably around somewhere.,"oh, well, it only cost me a dollar."
"oh, well, it only cost me a dollar.",only a dollar? don't even look for it.
gravity is very important.,what is gravity?
what is gravity?,it's the force that pulls everything down.
it's the force that pulls everything down.,i don't understand.
i don't understand.,"if you pour water into a glass, the water goes down into the glass."
"if you pour water into a glass, the water goes down into the glass.",of course it does.
of course it does.,"without gravity, the water would go up."
"without gravity, the water would go up.",you're joking.
you're joking.,"without gravity, you would go up."
"without gravity, you would go up.",what do you mean?
what do you mean?,you would float into the sky like a balloon.
you would float into the sky like a balloon.,that would be fun!
i can't read my book.,turn on the light.
turn on the light.,the light is on.
the light is on.,open the book.
open the book.,the book is open.
the book is open.,see an eye doctor.
see an eye doctor.,that's what i need to do.
that's what i need to do.,he'll give you a prescription for glasses.
he'll give you a prescription for glasses.,i'll make an appointment tomorrow.
i'll make an appointment tomorrow.,i'll get the yellow pages for an eye doctor.
i'll get the yellow pages for an eye doctor.,read the phone number to me.
read the phone number to me.,"i'll read it very loud, in case your hearing is getting bad, too."
what do you need for school?,i need pencils.
i need pencils.,anything else?
anything else?,i need a notebook.
i need a notebook.,do you need a pen?
do you need a pen?,no. i already have a pen.
no. i already have a pen.,do you need a calculator?
do you need a calculator?,no. the teacher doesn't permit calculators.
no. the teacher doesn't permit calculators.,how about a dictionary?
how about a dictionary?,"no, we have a big dictionary in the classroom."
"no, we have a big dictionary in the classroom.","well, i guess that's it."
"well, i guess that's it.","yes, that's all i need for now."
i like this magazine.,so do i.
so do i.,"i read it once, and i subscribed."
"i read it once, and i subscribed.",it gives you all the news.
it gives you all the news.,all the news in only 50 pages.
all the news in only 50 pages.,i like the political cartoons.
i like the political cartoons.,i like the beautiful photos of the houses for sale.
i like the beautiful photos of the houses for sale.,i always read the film reviews.
i always read the film reviews.,i never miss the food and drink section.
i never miss the food and drink section.,i gave a subscription to my parents.
i gave a subscription to my parents.,me too. they canceled their other news magazines.
me too. they canceled their other news magazines.,so did mine!
my pen is out of ink.,shake it a couple of times.
shake it a couple of times.,i shook it. there is no more ink.
i shook it. there is no more ink.,you can borrow mine.
you can borrow mine.,thank you. i'll buy a new one tomorrow.
thank you. i'll buy a new one tomorrow.,what were you doing?
what were you doing?,i was writing a letter.
i was writing a letter.,who were you writing to?
who were you writing to?,it's to my mom.
it's to my mom.,tell her i said hello.
tell her i said hello.,okay. i'll return your pen when i'm done.
okay. i'll return your pen when i'm done.,take your time.
have you done your homework?,not yet.
not yet.,then why are you watching tv?
then why are you watching tv?,this is my favorite show.
this is my favorite show.,go do your homework.
go do your homework.,"but, mom!"
"but, mom!",you can watch tv after you do your homework.
you can watch tv after you do your homework.,but the show will be over.
but the show will be over.,there will be another show next week.
there will be another show next week.,please?
please?,you know the rules.
you know the rules.,i hate the rules! i can't wait till i grow up.
i can't wait until i graduate.,me too.
me too.,no more homework.
no more homework.,i hate homework.
i hate homework.,are you going to college?
are you going to college?,i can't afford it.
i can't afford it.,me neither.
me neither.,so what are you going to do?
so what are you going to do?,i'm joining the army.
i'm joining the army.,you're kidding. you might get killed.
you're kidding. you might get killed.,"i don't think so. after i finish, i'll have enough money to go to college."
"i don't think so. after i finish, i'll have enough money to go to college.",that's not a bad idea.
what is your major?,english.
english.,what are you going to do with an english major?
what are you going to do with an english major?,i'm going to be a teacher.
i'm going to be a teacher.,high school or middle school?
high school or middle school?,high school.
high school.,i teach high school english.
i teach high school english.,i didn't know that.
i didn't know that.,i started teaching five years ago.
i started teaching five years ago.,how do you like it?
how do you like it?,do you see all this gray hair? it was totally black five years ago.
do you see all this gray hair? it was totally black five years ago.,maybe i'll teach middle school.
parking at school is impossible.,i'll say.
i'll say.,i drove around for half an hour.
i drove around for half an hour.,did you find a spot?
did you find a spot?,"i found a spot, but someone cut in and took it from me."
"i found a spot, but someone cut in and took it from me.",did you yell at them?
did you yell at them?,"yes, i did."
"yes, i did.",and?
and?,and he yelled back at me.
and he yelled back at me.,how rude.
how rude.,but i got lucky a few minutes later.
but i got lucky a few minutes later.,you have to be lucky to find a parking space.
this is a huge library.,"yes, it has lots of rooms and lots of space."
"yes, it has lots of rooms and lots of space.",and lots of books.
and lots of books.,and lots of thieves.
and lots of thieves.,what do you mean?
what do you mean?,"i mean, keep your belongings close to you."
"i mean, keep your belongings close to you.",the only thing in my backpack is used books.
the only thing in my backpack is used books.,but thieves don't know that.
but thieves don't know that.,they might think that i've got an ipod or laptop in there.
they might think that i've got an ipod or laptop in there.,now you're thinking.
now you're thinking.,you'd think a library would be safe from thieves.
you'd think a library would be safe from thieves.,not even a church is safe from thieves.
how good is your math?,i can add two and two.
i can add two and two.,so you're not very good at math?
so you're not very good at math?,i'm terrible at math.
i'm terrible at math.,"well, i need some help."
"well, i need some help.",with what?
with what?,i'm taking a math course in school.
i'm taking a math course in school.,"well, you should ask your teacher or your classmates for help."
"well, you should ask your teacher or your classmates for help.",i can't do that.
i can't do that.,why not?
why not?,they might think i'm stupid.
they might think i'm stupid.,they're not going to think that! they'll be glad to help you.
do you believe in god?,of course.
of course.,do you pray to god?
do you pray to god?,occasionally.
occasionally.,when's that?
when's that?,when i need something.
when i need something.,like what?
like what?,"well, if i have a big test at school."
"well, if i have a big test at school.",does god answer your prayers?
does god answer your prayers?,"yes, i've passed all my tests."
"yes, i've passed all my tests.",do you ever pray for money?
do you ever pray for money?,not yet. i won't need to do that until i graduate from high school.
the cops finally found the husband.,what husband?
what husband?,the husband of the driver who ran over two college students at 3 a.m.
the husband of the driver who ran over two college students at 3 a.m.,"oh, yeah. the girl died instantly, and the boy is still in the hospital."
"oh, yeah. the girl died instantly, and the boy is still in the hospital.",the husband said he tried to help the boy.
the husband said he tried to help the boy.,"yes, he pushed him off the hood of the car."
"yes, he pushed him off the hood of the car.","no, he said he gently placed the boy on the street."
"no, he said he gently placed the boy on the street.",so what? they still drove off.
so what? they still drove off.,the husband said a fire department was nearby.
the husband said a fire department was nearby.,so what? did he dial 911?
so what? did he dial 911?,"he said he was thinking about it, but he didn't get around to it."
"he said he was thinking about it, but he didn't get around to it.","he didn't get around to turning himself in, either."
i don't like riding the bus.,why not?
why not?,the seats and windows are dirty.
the seats and windows are dirty.,don't they clean the bus every night?
don't they clean the bus every night?,i think they do.
i think they do.,you should bring some wipes with you.
you should bring some wipes with you.,that's a good idea.
that's a good idea.,then you can wipe your seat and window.
then you can wipe your seat and window.,people will think i'm strange.
people will think i'm strange.,who cares? everyone is strange.
who cares? everyone is strange.,that's for sure.
that's for sure.,don't worry about what people think.
i don't like riding the bus.,why not?
why not?,"number one, it's too slow."
"number one, it's too slow.",you're right. a car is faster.
you're right. a car is faster.,"number two, it's usually late."
"number two, it's usually late.",you're right. the buses are never on time.
you're right. the buses are never on time.,"number three, it doesn't run 24 hours."
"number three, it doesn't run 24 hours.",you're right. buses don't run late at night.
you're right. buses don't run late at night.,"number four, it's too crowded."
"number four, it's too crowded.",you're right. you have to stand in the aisle.
you're right. you have to stand in the aisle.,"number five, it's unsafe."
"number five, it's unsafe.",you're right. bad guys might rob you.
we had a problem at school.,what was the problem?
what was the problem?,someone cut the tires.
someone cut the tires.,what tires?
what tires?,the tires on the cars.
the tires on the cars.,where were the cars?
where were the cars?,they were in the student parking lot.
they were in the student parking lot.,how many tires were cut?
how many tires were cut?,one or two tires were cut on each car.
one or two tires were cut on each car.,how many cars?
how many cars?,eleven cars.
eleven cars.,that's terrible. i hope they catch the person.
life isn't fair.,it sure isn't.
it sure isn't.,i got a ticket yesterday.
i got a ticket yesterday.,what for?
what for?,i was crossing the street.
i was crossing the street.,were you in a crosswalk?
were you in a crosswalk?,"yes, but the red hand was blinking."
"yes, but the red hand was blinking.",so? that's a ticket?
so? that's a ticket?,"yes, it's a $140 ticket."
"yes, it's a $140 ticket.",that's not right!
that's not right!,"when i started to cross the street, the white walk sign was blinking."
"when i started to cross the street, the white walk sign was blinking.",you need to walk faster.
you're driving too fast.,why do you say that?
why do you say that?,the speed limit is 65.
the speed limit is 65.,i know that.
i know that.,but you're doing 75.
but you're doing 75.,so is everyone else.
so is everyone else.,but a cop might stop you.
but a cop might stop you.,"no, he won't. some cars are doing 85."
"no, he won't. some cars are doing 85.",so the cop will stop those cars?
so the cop will stop those cars?,of course. he stops the fastest cars.
of course. he stops the fastest cars.,my friend got a ticket for doing 75.
my friend got a ticket for doing 75.,your friend was unlucky.
remember to put air in your tires.,how often do i have to do that?
how often do i have to do that?,once every two months.
once every two months.,that's a lot.
that's a lot.,what do you mean?
what do you mean?,that's six times a year!
that's six times a year!,"yes, and it takes about five minutes each time."
"yes, and it takes about five minutes each time.",i'll try.
i'll try.,check your tires or you'll get a flat.
check your tires or you'll get a flat.,oh. that's not good.
oh. that's not good.,"no, it isn't. a flat costs you time and money."
"no, it isn't. a flat costs you time and money.",and i don't have either.
you're driving too fast.,i'm in a hurry.
i'm in a hurry.,don't ever be in a hurry.
don't ever be in a hurry.,it's not my fault. you didn't wake me up.
it's not my fault. you didn't wake me up.,that's not my fault. you didn't tell me to wake you up.
that's not my fault. you didn't tell me to wake you up.,"well, i meant to."
"well, i meant to.",don't ever be in a hurry when you're driving.
don't ever be in a hurry when you're driving.,why not?
why not?,because you'll have an accident. most accidents are because people are in a hurry.
because you'll have an accident. most accidents are because people are in a hurry.,how do you know that?
how do you know that?,i read a lot.
i read a lot.,i thought drunks caused most accidents.
let's go for a ride.,where are we going?
where are we going?,into the mountains.
into the mountains.,that sounds nice.
that sounds nice.,i want to show you my new car.
i want to show you my new car.,you bought a new car?
you bought a new car?,yes. i bought a cadillac.
yes. i bought a cadillac.,a luxury car.
a luxury car.,luxury plus speed.
luxury plus speed.,what are we waiting for?
what are we waiting for?,let me get the keys.
let me get the keys.,let me get my camera.
i have to go to the bathroom.,why didn't you go before we left?
why didn't you go before we left?,"i did, but i have to go again."
"i did, but i have to go again.","well, hold on a little longer."
"well, hold on a little longer.",i think i'm going to explode.
i think i'm going to explode.,just hold on.
just hold on.,oh! don't hit any more bumps!
oh! don't hit any more bumps!,we'll be at mcdonald's in just a few minutes.
we'll be at mcdonald's in just a few minutes.,i hope they are fast minutes.
i hope they are fast minutes.,think about something else. think about a hamburger.
think about something else. think about a hamburger.,"i'm thinking, but i still have to go."
"i'm thinking, but i still have to go.",it's the next exit. hold on!
where's the car?,what do you mean?
what do you mean?,the car isn't here.
the car isn't here.,where did you park it?
where did you park it?,i parked it right here.
i parked it right here.,are you sure?
are you sure?,yes. i remember this big tree.
yes. i remember this big tree.,maybe it's the wrong tree.
maybe it's the wrong tree.,"no, this is the tree."
"no, this is the tree.",did someone steal it?
did someone steal it?,i sure hope not.
i sure hope not.,maybe they towed it away.
look at this traffic.,i'd rather not.
i'd rather not.,it gets worse every year.
it gets worse every year.,why are you complaining? we're going almost 20 miles an hour.
why are you complaining? we're going almost 20 miles an hour.,the speed limit is 65!
the speed limit is 65!,"well, that's between 2:00 and 4:00 a.m."
"well, that's between 2:00 and 4:00 a.m.",where are all these people going?
where are all these people going?,they're all asking the same question.
they're all asking the same question.,when are they going to fix this problem?
when are they going to fix this problem?,they said they need more money.
they said they need more money.,they always need more money.
they always need more money.,it'll get worse before it gets better.
did you see that car?,"yes, he went through the red light."
"yes, he went through the red light.",can we call the police?
can we call the police?,"no, the police don't care."
"no, the police don't care.",why not?
why not?,they have to see it happen.
they have to see it happen.,they don't believe us?
they don't believe us?,no. they can only give a ticket if they see it happen.
no. they can only give a ticket if they see it happen.,"so, what do we do?"
"so, what do we do?",we don't do anything.
we don't do anything.,maybe we should honk the horn next time.
maybe we should honk the horn next time.,the driver will just honk back at us.
my car is dirty.,why don't you wash it?
why don't you wash it?,that's what i'm going to do.
that's what i'm going to do.,are you going to wash it yourself?
are you going to wash it yourself?,of course. it's not a hard job.
of course. it's not a hard job.,i'll help you.
i'll help you.,"okay, i'll get a bucket."
"okay, i'll get a bucket.",i'll rinse the car first.
i'll rinse the car first.,then we can scrub it with a wet sponge and soap.
then we can scrub it with a wet sponge and soap.,"after that, we can dry it with a towel."
"after that, we can dry it with a towel.",then it will look like new
then it will look like new,and you save $10.
it sure is windy today.,paper is flying everywhere.
paper is flying everywhere.,this wind is dangerous for drivers.
this wind is dangerous for drivers.,especially for drivers of big trucks.
especially for drivers of big trucks.,the wind blows those trucks over.
the wind blows those trucks over.,"it blows trees over, too."
"it blows trees over, too.",a tree fell onto my dad's car.
a tree fell onto my dad's car.,was there much damage?
was there much damage?,my dad had to buy a new car.
my dad had to buy a new car.,wow! that's terrible.
wow! that's terrible.,never park your car under a tree.
never park your car under a tree.,"the wind will get you, or the birds will get you."
when are we going to stop?,we'll stop at the next mcdonald's.
we'll stop at the next mcdonald's.,how far away is that?
how far away is that?,i think we'll be there in half an hour.
i think we'll be there in half an hour.,i hope so. i have to go to the bathroom.
i hope so. i have to go to the bathroom.,"well, i can always pull over."
"well, i can always pull over.","no, thank you, i'll just wait."
"no, thank you, i'll just wait.",we can kill two birds with one stone.
we can kill two birds with one stone.,what do you mean?
what do you mean?,"while you're using the bathroom, i'll order some food."
"while you're using the bathroom, i'll order some food.",don't order for me. i'm not hungry.
don't order for me. i'm not hungry.,"i'm very hungry. i'll order for you, and then i'll eat yours."
this is such a long light.,look how many cars are waiting in line.
look how many cars are waiting in line.,they need a left-turn arrow.
they need a left-turn arrow.,only two cars can make a left turn every three or four minutes.
only two cars can make a left turn every three or four minutes.,we'll be here forever.
we'll be here forever.,get out of this lane.
get out of this lane.,but we need to turn left.
but we need to turn left.,forget it. go straight.
forget it. go straight.,then what?
then what?,then we'll just make a u-turn.
then we'll just make a u-turn.,and then we can turn right at the light.
and then we can turn right at the light.,good idea. it will be so much quicker.
i need a cheap car.,how much money do you have?
how much money do you have?,"$1,000.00 "
"$1,000.00 ","well, that should get you something."
"well, that should get you something.",but i need something that's reliable.
but i need something that's reliable.,you need a car with low mileage.
you need a car with low mileage.,a car that was owned by a little old lady.
a car that was owned by a little old lady.,where have you looked?
where have you looked?,i haven't looked anywhere yet.
i haven't looked anywhere yet.,why not?
why not?,because i'll never find one for such a low price.
because i'll never find one for such a low price.,you're right about that. keep saving your money.
"good afternoon, officer.","your driver's license and registration, please."
"your driver's license and registration, please.",here you go.
here you go.,do you know why i pulled you over?
do you know why i pulled you over?,i have no idea. all of a sudden i heard your siren.
i have no idea. all of a sudden i heard your siren.,you rolled through that stop sign back there.
you rolled through that stop sign back there.,but i stopped!
but i stopped!,"no, you didn't. you slowed down, but you didn't come to a full stop."
"no, you didn't. you slowed down, but you didn't come to a full stop.","well, nobody else does, so why should i?"
"well, nobody else does, so why should i?",that's not the attitude of a good driver.
that's not the attitude of a good driver.,but i am a good driver. i've never had a ticket in my life.
but i am a good driver. i've never had a ticket in my life.,"well, you've got one now. here. have a nice day."
$140. i can't believe it.,what are you talking about?
what are you talking about?,i got a ticket downtown for $140.
i got a ticket downtown for $140.,were you speeding?
were you speeding?,"no, i was crossing the street."
"no, i was crossing the street.",were you jaywalking?
were you jaywalking?,"no, i was in the crosswalk."
"no, i was in the crosswalk.",so why did you get a ticket?
so why did you get a ticket?,the officer said the red hand was blinking.
the officer said the red hand was blinking.,was it blinking when you entered the crosswalk?
was it blinking when you entered the crosswalk?,"no, the white walk sign was blinking."
"no, the white walk sign was blinking.",you should fight that ticket. i'll be your witness.
they were in a crosswalk near school at 3 a.m.,who?
who?,two students from usc.
two students from usc.,what happened?
what happened?,"a speeding car ran a red light, killing the girl."
"a speeding car ran a red light, killing the girl.",what happened to the other student?
what happened to the other student?,he landed on the hood of the car.
he landed on the hood of the car.,did he get off the hood?
did he get off the hood?,"no, the car stopped and the passenger pushed the injured student off the hood."
"no, the car stopped and the passenger pushed the injured student off the hood.",i'll bet the car continued on its way.
i'll bet the car continued on its way.,of course it did. why stop after you've run over two people?
of course it did. why stop after you've run over two people?,i hope they find them and put them in jail for life.
what happened to your car?,i got a dent in the parking lot.
i got a dent in the parking lot.,how did you get it?
how did you get it?,i don't know. maybe it was from a shopping cart.
i don't know. maybe it was from a shopping cart.,those shopping carts are dangerous.
those shopping carts are dangerous.,especially the metal ones.
especially the metal ones.,i don't park at a store that uses metal shopping carts.
i don't park at a store that uses metal shopping carts.,"that's a good idea, but there was a good sale at this store."
"that's a good idea, but there was a good sale at this store.",did you save any money on the sale?
did you save any money on the sale?,"yes, i did. i saved about $50."
"yes, i did. i saved about $50.",that's great.
that's great.,"yes, except this dent will cost about $150."
"did you see ""titanic""?",yes. it is a great movie.
yes. it is a great movie.,i saw it twelve times.
i saw it twelve times.,i saw it eight times.
i saw it eight times.,i have the dvd.
i have the dvd.,so do i.
so do i.,let's go to your home.
let's go to your home.,we can watch my dvd.
we can watch my dvd.,and then we can go to my home.
and then we can go to my home.,and watch your dvd.
and watch your dvd.,i always cry at the end.
i always cry at the end.,me too. it's so sad.
let's play cards.,i don't know any card games.
i don't know any card games.,i'll teach you one.
i'll teach you one.,okay. what will you teach me?
okay. what will you teach me?,it's called poker.
it's called poker.,is it easy to learn?
is it easy to learn?,"yes, it will only take about 30 minutes."
"yes, it will only take about 30 minutes.",okay. teach me how to play.
okay. teach me how to play.,we each get five cards.
we each get five cards.,"oh, look. i have four tens."
"oh, look. i have four tens.","that's great, but you're not supposed to tell me."
"that's great, but you're not supposed to tell me.","oh. sorry. okay, i don't have four tens."
i'm a good card player.,why is that?
why is that?,because i watch the other players.
because i watch the other players.,what do you mean?
what do you mean?,people will tell you if they have a good hand.
people will tell you if they have a good hand.,how do they do that?
how do they do that?,"for example, a friend of mine licks his lips."
"for example, a friend of mine licks his lips.","when he licks his lips, you know he has a good hand?"
"when he licks his lips, you know he has a good hand?","i know he has a good hand, so i don't bet."
"i know he has a good hand, so i don't bet.",he never wins your money?
he never wins your money?,"nope, and it drives him crazy."
"nope, and it drives him crazy.",he knows you can't read his mind. maybe he thinks you're cheating.
"turn the radio down, please.",but i'm listening to it.
but i'm listening to it.,"well, listen to it more quietly."
"well, listen to it more quietly.",i can't wait till i grow up.
i can't wait till i grow up.,what will you do?
what will you do?,i will play the radio as loud as i want.
i will play the radio as loud as i want.,that's okay with me.
that's okay with me.,i will have a radio in every room of my house.
i will have a radio in every room of my house.,remind me to never visit you.
remind me to never visit you.,all the radios will be on extra loud.
all the radios will be on extra loud.,your neighbors will hate you.
your neighbors will hate you.,"if they don't like it, they can move."
i hope i win the lotto.,your chances are very small.
your chances are very small.,but you can't win if you don't play.
but you can't win if you don't play.,ha! you can't win if you do play.
ha! you can't win if you do play.,someone has to win.
someone has to win.,that's what everyone says.
that's what everyone says.,it might as well be me.
it might as well be me.,that's what everyone says.
that's what everyone says.,you're trying to tell me something.
you're trying to tell me something.,that didn't take long.
that didn't take long.,you think i should quit playing.
you think i should quit playing.,save your money for school.
what's on tv?,nothing much.
nothing much.,what about the baseball game?
what about the baseball game?,it got rained out.
it got rained out.,rained out?
rained out?,"yes, rained out."
"yes, rained out.",how could that be?
how could that be?,"well, you can't play baseball in a rainstorm."
"well, you can't play baseball in a rainstorm.",i thought they were playing under a dome.
i thought they were playing under a dome.,the dome doesn't close.
the dome doesn't close.,why doesn't it close?
why doesn't it close?,who knows? they said they'll fix it before next season.
can i try your coffee?,sure. here you go.
sure. here you go.,"hmm, that's not bad."
"hmm, that's not bad.",there's nothing in it.
there's nothing in it.,what do you mean?
what do you mean?,"i mean, it's just coffee."
"i mean, it's just coffee.",i figured that.
i figured that.,it's not too bitter for you?
it's not too bitter for you?,"it's a little bitter, but it's okay."
"it's a little bitter, but it's okay.",there's no sugar or cream in it.
there's no sugar or cream in it.,"no, it's a taste you have to get used to."
"no, it's a taste you have to get used to.",sort of like beer.
let's take a walk.,what's the weather like?
what's the weather like?,let me step outside and see.
let me step outside and see.,"it's a little chilly, right?"
"it's a little chilly, right?","yes, it is."
"yes, it is.",i'll put on my cap.
i'll put on my cap.,"wear a jacket, too."
"wear a jacket, too.",i wonder if i should bring my gloves.
i wonder if i should bring my gloves.,"maybe you should, just in case it gets colder."
"maybe you should, just in case it gets colder.",i'll put a glove in each pocket.
i'll put a glove in each pocket.,we'll get warmer as we walk.
we'll get warmer as we walk.,"yes, but it gets colder as the sun goes down."
look at the car chase on tv!,that driver is crazy.
that driver is crazy.,i can't believe he hasn't crashed.
i can't believe he hasn't crashed.,how fast is he going?
how fast is he going?,they say he's going 80 miles per hour.
they say he's going 80 miles per hour.,he's going to kill someone.
he's going to kill someone.,look! he just hit that car.
look! he just hit that car.,"oh, my goodness. no one is safe on the streets."
"oh, my goodness. no one is safe on the streets.",now he's slowing down.
now he's slowing down.,maybe he ran out of gas.
maybe he ran out of gas.,look! he just got out of the car and started running.
look! he just got out of the car and started running.,i hope the police catch him.
tv news is so stupid.,they shouldn't even call it news.
they shouldn't even call it news.,last night they told us about a cat in a sofa.
last night they told us about a cat in a sofa.,yesterday they told us about a dog in a pipe.
yesterday they told us about a dog in a pipe.,last week they told us about a bear in a back yard.
last week they told us about a bear in a back yard.,last month they told us about a mouse in a restaurant.
last month they told us about a mouse in a restaurant.,the weatherman tells us the temperature in every town.
the weatherman tells us the temperature in every town.,the sports guy shows us players fighting.
the sports guy shows us players fighting.,"they always tell us ""what's next."""
"they always tell us ""what's next.""","they always make ""what's next"" sound exciting, but it never is."
"they always make ""what's next"" sound exciting, but it never is.",it's more like news for kids.
it's more like news for kids.,they should have kid reporters.
i love my computer.,computers are so cool.
computers are so cool.,i love to go online.
i love to go online.,the internet is amazing.
the internet is amazing.,you can travel all over the world.
you can travel all over the world.,i know. i went to china yesterday.
i know. i went to china yesterday.,what did you do?
what did you do?,i stood on the great wall and looked all around.
i stood on the great wall and looked all around.,what was it like?
what was it like?,it was like the real thing.
it was like the real thing.,it was like being there?
it was like being there?,"yes, i felt like i was actually there."
the beatles are the best.,they are the best musical group ever.
they are the best musical group ever.,i love all their songs.
i love all their songs.,i don't know which one i like the best.
i don't know which one i like the best.,i like the ones i can sing along with.
i like the ones i can sing along with.,"so do i, like ""she loves you."""
"so do i, like ""she loves you.""","she loves you, yeah, yeah, yeah!..."
"she loves you, yeah, yeah, yeah!...",and you know you should be glad!
and you know you should be glad!,what a great song.
what a great song.,"how about ""let it be?"""
"how about ""let it be?""","oh, yes! ""let it be, let it be"""
"oh, yes! ""let it be, let it be""","there will be an answer, let it be!"
let's go to a movie.,i'd rather not.
i'd rather not.,why not?
why not?,you know i don't like crowds.
you know i don't like crowds.,let's go to an early movie.
let's go to an early movie.,"okay, that won't be very crowded."
"okay, that won't be very crowded.",what would you like to see?
what would you like to see?,"oh, i don't care. you're the one who wants to go out."
"oh, i don't care. you're the one who wants to go out.","well, i want to see ""the pursuit of happyness."""
"well, i want to see ""the pursuit of happyness.""",what have you heard about it?
what have you heard about it?,it's based on a true story about a divorced man and his young son.
it's based on a true story about a divorced man and his young son.,"well, i hope it has a happy ending."
what's your favorite thing to do?,i like to watch people.
i like to watch people.,that's your favorite thing to do?
that's your favorite thing to do?,"well, it's one of them."
"well, it's one of them.",where do you go to watch people?
where do you go to watch people?,my girlfriend and i sit outside starbucks.
my girlfriend and i sit outside starbucks.,that sounds like a good spot.
that sounds like a good spot.,we watch people walk by with their dogs.
we watch people walk by with their dogs.,i guess you see lots of different dogs.
i guess you see lots of different dogs.,we don't even know what kind most of them are.
we don't even know what kind most of them are.,"there are lots of different kinds, but they all have one thing in common."
"there are lots of different kinds, but they all have one thing in common.","yes, they love to sniff each other when they meet."
they call him father dollar bill.,"yes, he was on the tv news today."
"yes, he was on the tv news today.",every easter sunday he gives away money.
every easter sunday he gives away money.,is it his money?
is it his money?,no. movie stars give him money to give to homeless people.
no. movie stars give him money to give to homeless people.,how much money does he give away?
how much money does he give away?,"this year he gave away $15,000."
"this year he gave away $15,000.",that's a lot of money.
that's a lot of money.,he gave $100 to people in wheelchairs.
he gave $100 to people in wheelchairs.,what about the other homeless people?
what about the other homeless people?,they got $1 each.
they got $1 each.,people stood in line just to get one dollar?!
old movies are the best.,even though they're in black and white.
even though they're in black and white.,a good story is more important than color.
a good story is more important than color.,actors didn't curse back then.
actors didn't curse back then.,and there was no violence.
and there was no violence.,people today don't like that.
people today don't like that.,"no, today people like lots of action."
"no, today people like lots of action.",i like a good story.
i like a good story.,i like to see actors who are like real people.
i like to see actors who are like real people.,like real people with real problems.
like real people with real problems.,they still make movies like that.
they still make movies like that.,"yes, but they never make much money."
do you get pbs on tv?,"yes, everybody gets the public broadcasting system."
"yes, everybody gets the public broadcasting system.",it puts me to sleep.
it puts me to sleep.,tell me about it.
tell me about it.,a gardening show follows a knitting show.
a gardening show follows a knitting show.,a cooking show follows a sewing show.
a cooking show follows a sewing show.,a travel show follows another travel show.
a travel show follows another travel show.,i'll say! i've gone around the world a dozen times already!
i'll say! i've gone around the world a dozen times already!,now they're adding old tv shows to the old movies.
now they're adding old tv shows to the old movies.,i sure would like to see something interesting for a change.
i sure would like to see something interesting for a change.,"if more people donate money, pbs could offer new shows."
"if more people donate money, pbs could offer new shows.",who wants to donate? public tv should be free.
"i love to watch ""judge judy.""",is that a tv show?
is that a tv show?,yes. it's on every afternoon.
yes. it's on every afternoon.,what's so good about it?
what's so good about it?,they have interesting lawsuits.
they have interesting lawsuits.,such as?
such as?,"yesterday, a woman complained about a cell phone she bought on ebay."
"yesterday, a woman complained about a cell phone she bought on ebay.",was something wrong with the phone?
was something wrong with the phone?,it works only in canada.
it works only in canada.,did the seller know that?
did the seller know that?,"yes, and he didn't tell the buyer."
"yes, and he didn't tell the buyer.",i hope judge judy made the seller take the phone back.
that woman is a very good singer.,"yes, but she looks like a man."
"yes, but she looks like a man.",what difference does it make?
what difference does it make?,female singers are supposed to be pretty.
female singers are supposed to be pretty.,singers are supposed to sound good.
singers are supposed to sound good.,"they should look good, too."
"they should look good, too.",there are lots of ugly men singers.
there are lots of ugly men singers.,men singers don't have to look good.
men singers don't have to look good.,then neither do women singers.
then neither do women singers.,"well, i would never buy her cd."
"well, i would never buy her cd.",but you would buy her cd if she was pretty?
but you would buy her cd if she was pretty?,yes. i would buy all of her cds.
all the tv stations are going to go digital.,"yes, that will occur next month."
"yes, that will occur next month.",most of them are already broadcasting in digital.
most of them are already broadcasting in digital.,the digital signal is very clear.
the digital signal is very clear.,"oh, no, it isn't!"
"oh, no, it isn't!",what do you mean?
what do you mean?,i can't get a single channel.
i can't get a single channel.,do you have a digital tv?
do you have a digital tv?,of course. but i don't have cable.
of course. but i don't have cable.,"you don't need to have cable, but you do need a good antenna."
"you don't need to have cable, but you do need a good antenna.",but i have rabbit ears.
but i have rabbit ears.,rabbit ears aren't strong enough. buy a digital antenna.
i've got a date for you.,"oh, really?"
"oh, really?",are you interested?
are you interested?,maybe. what is she like?
maybe. what is she like?,she's got a great personality.
she's got a great personality.,uh-oh. that means that she's fat and ugly.
uh-oh. that means that she's fat and ugly.,she's cute.
she's cute.,"okay, so she's not ugly; she's just fat."
"okay, so she's not ugly; she's just fat.",she weighs 98 pounds.
she weighs 98 pounds.,"okay, she's not fat. so what's the problem with her?"
"okay, she's not fat. so what's the problem with her?",who said there is a problem with her?
who said there is a problem with her?,the problem is she has no problemsshe's too good for me!
